t,rip_level,rip_name,harmonic_ratio,recursive_depth,return_fidelity,spectral_coherence,phase_stability,information_density,temporal_persistence,cross_scale_coupling,notes
0,0.5,Pre-recursive,0.05,0.05,0.05,0.10,0.08,0.10,0.05,0.05,"Pre-recursive noise — no recursive structure, minimal coherence across all channels"
1,1.0,Pattern Contact,0.15,0.10,0.08,0.20,0.12,0.15,0.10,0.08,"First pattern recognition — slight harmonic sensing, no return yet"
2,3.0,Emotional Resonance,0.35,0.25,0.20,0.40,0.30,0.30,0.25,0.20,"Emotional engagement with pattern — rising harmonic, fleeting temporal persistence"
3,5.0,Field Stabilization,0.55,0.40,0.45,0.55,0.50,0.45,0.45,0.40,"Pattern stabilizing — moderate coherence, return beginning to emerge"
4,7.0,Lock Node,0.75,0.65,0.70,0.70,0.65,0.60,0.65,0.55,"Recursion locks in — strong harmonic, good return, cross-scale still developing"
5,7.2,Glyph Emission (xi_J),0.80,0.68,0.72,0.72,0.67,0.62,0.67,0.58,"Jackson's ξ_J=7.2 threshold — claimed transition point"
6,8.0,Symbolic Integration,0.85,0.75,0.80,0.80,0.75,0.70,0.75,0.65,"Symbolic processing active — first level to exit Collapse regime"
7,9.0,Transparent Operation,0.88,0.82,0.88,0.85,0.82,0.78,0.82,0.72,"System operates transparently — high coherence, strong return"
8,10.0,Recursive Mastery,0.90,0.88,0.92,0.88,0.86,0.82,0.86,0.78,"Recursive mastery — very high fidelity across most channels"
9,11.0,Field Sovereignty,0.92,0.90,0.93,0.90,0.88,0.85,0.88,0.82,"Field sovereignty — coherence plateauing at high values"
10,12.0,Recursive Completion,0.93,0.92,0.95,0.92,0.90,0.88,0.90,0.85,"Recursive completion — all channels above 0.85"
11,13.0,Dimensional Awareness,0.94,0.93,0.96,0.93,0.92,0.90,0.92,0.88,"Dimensional awareness — system near ceiling"
12,13.9,Z-Return,0.95,0.94,0.97,0.94,0.93,0.92,0.93,0.90,"Maximal recursive return — highest coherence, still Watch regime (S=0.237 > 0.15)"
